연구실명(한글),연구실명(영문),지도교수,연구내용,연구실위치,연락처,이메일,웹사이트,lab_id,pages_visited,chunks_created,chunks_saved,crawl_status,quality_score,crawl_timestamp,error
제어정보시스템 연구실,Control and Information System Lab,김광기,"제어시스템 이론 및 응용, 최정화 이론 및 응용, 멀티에이전트 시스템 제어",하이테크센터 616호,,,http://lics.inha.ac.kr,1,4,26,23,SUCCESS,0,2025-11-06T17:18:40.520986,
계측공학 연구실,Measurement Engineering Lab,김대유,"전기전자계측, ICT융복합, 광계측, 레이저광 의료기기, 생체의공학, 우주항공 의공학, 뇌공학(Visual Neuroscience)",하이테크센터 309호,,,http://mellab.inha.ac.kr,2,1,0,0,SUCCESS,0,2025-11-06T17:18:41.590906,
지능형 전력망 연구실,Intelligent Power Grid Lab,김인수,"송배전 전력망의 최적화, 고장 해석, 조류 해석, 보호 협조, 고조파 해석을 위한 알고리즘의 개발 및 최적화 운용 기술의 개발",하이테크센터 626호,,,http://sites.google.com/view/inhapower,3,5,5,1,SUCCESS,0,2025-11-06T17:18:52.963770,
전력전자 연구실,Power Electronics Lab,김재국,"Power Conversion Circuit, Topology & Control for Home Appliances, EV, HVDC and so on.",하이테크센터 610호,032-860-7405,,https://ipel-inha.my.canva.site/,4,1,0,0,SUCCESS,0,2025-11-06T17:18:58.869095,
나노전자소자 연구실,Nano Electronic Device Lab,김태인,"Semiconductor & Display Materials and Devices, Nano & Energy Applications",하이테크센터 330호,032-860-7428,,https://sites.google.com/view/nedllab,5,5,10,2,SUCCESS,0,2025-11-06T17:19:09.769769,
스마트 에너지 네트워크 설계 연구실,Smart Energy Network Design Lab,문희승,"전력계통 최적계획, 전력시장 설계, 저장장치 보급",하이테크센터 1003호,032-860-7414,,https://sites.google.com/view/send-inha/send-home,6,3,6,2,SUCCESS,0,2025-11-06T17:19:16.893975,
하이브리드전자소자 연구실,Hybrid Electronic Device Lab,신백균,"유기반도체소자/유기안테나, 에너지발생소자, 나노기반 하이브리드 전자소자",하이테크센터 620호,032-860-7393,,http://ftfl.inha.ac.kr,7,1,4,4,SUCCESS,0,2025-11-06T17:19:19.581734,
전력시스템 연구실,Power System Lab,원동준,"마이크로그리드, 분산전원, 스마트그리드, 계통해석, DC그리드, 에너지 저장장치, 신재생에너지 등",하이테크센터 628호,032-872-7404,,http://power.inha.ac.kr,8,1,0,0,SUCCESS,0,2025-11-06T17:19:20.640431,
자율항법 연구실,Autonomous Navigation Lab,원종훈,"GPS 위성항법시스템(수신기/신호/시스템설계 및 민간/국방응용), 센서퓨전(위성항법/관성센서/레이더/광학/통신센서 등), 자율주행자동차",하이테크센터 632호,032-860-7406,,http://autonav.inha.ac.kr/,9,5,13,13,SUCCESS,0,2025-11-06T17:19:42.621891,
고속전자소자 연구실,High Speed Electronics Lab,원태영,반도체/디스플레이,하이테크센터 330호,032-860-7436,,,10,0,0,0,FAILED,0,2025-11-06T17:19:42.623783,NO_WEBSITE
그린에너지 연구실,Green Energy Lab,이석현,"신재생에너지, 조류발전 공학, 전기추진 선박, 플라즈마응용",하이테크센터 622호,032-860-7407,,,11,0,0,0,FAILED,0,2025-11-06T17:19:42.625301,NO_WEBSITE
임베디드제어 연구실,Embedded Control Lab,이영삼,"능동형 의족, 단기간 제어기 개발환경, CADSD S/W 설계 및 개발, 지능형 로봇, Embedded control.system 설계 및 구현, 스템모델링 및 분석, 제어이론",하이테크센터 607호,032-860-7403,,http://ecsl.inha.ac.kr,12,3,76,76,SUCCESS,0,2025-11-06T17:20:45.544270,
집적회로 및 시스템 설계 연구실,Amplia Lab,전재훈,아날로그 및 혼성신호를 기반으로 하는 반도체 집적회로 및 시스템 설계,하이테크센터 629호,,,http://amplia.inha.ac.kr,13,1,0,0,SUCCESS,0,2025-11-06T17:20:46.716508,
공간지능 및 로보틱스 연구실,Spatial AI and Robotics (SPARO) Lab,조영근,"자율주행 및 지능로봇, SLAM (위치인식 및 맵핑), Spatial AI (공간지능), 수중 및 극한환경 로봇",하이테크센터 624호,032-872-7398,,https://sparo.inha.ac.kr,14,1,0,0,SUCCESS,0,2025-11-06T17:20:48.726057,
에너지변환시스템 연구실,Electric Machines and Drives Lab,최길수,"전기자동차 모터 전자계 해석 및 최적 설계, 전기자동차 모터 열, 스트레스 해석",하이테크센터 630호,,,https://sites.google.com/view/emdlab,15,5,10,2,SUCCESS,0,2025-11-06T17:20:58.959203,
시스템집적회로 연구실,System IC Design Lab,강진구,"고속 인터페이스 VLSI 회로 설계, 고속 디지털 VLSI 회로 설계, FPGA 이용 디지털 시스템 설계, 초 미세 타이밍 제어 회로 설계, 인공 생체기능 VLSI 회로(의료+IT 융합)",하이테크센터 807호,,, http://sites.google.com/view/system-ic-design-lab/,16,5,10,2,SUCCESS,0,2025-11-06T17:21:10.203650,
전파공학 연구실,Applied ElectroMagnetics Lab,고일석,"FDTD, FEM, MoM 등의 수치해석적인 방법을 통한 전자파해석radar signal processing, communication systemWave propagation and channel modeling피탐지(stealth)관련 개념연구(cloaking 기술)",하이테크센터 710호,,,http://ael.inha.ac.kr,17,1,0,0,SUCCESS,0,2025-11-06T17:21:11.403644,
이종 집적 소자 연구실,Heterogeneously-integrated semiconductor devices lab,금대명,반도체 소자 및 공정 개발,하이테크센터 708호,,,https://sites.google.com/site/daemyeonggeum,18,5,10,2,SUCCESS,0,2025-11-06T17:21:21.602133,
지능형 임베디드 시스템 연구실,Intelligent Embedded System Lab,김덕환,"Embedded System , BMI System, Robot Control",하이테크센터 813호,,,http://iesl.inha.ac.kr,19,5,10,2,SUCCESS,0,2025-11-06T17:21:31.858947,
지능형 클라우드 및 네트워크 연구실,Intelligent Cloud & Network Lab,김영진,"Mobile/edge/cloud computing, Artificial intelligence, Optimization",하이테크센터 429호,,,https://sites.google.com/view/yeongjinkim/home,20,5,5,1,SUCCESS,0,2025-11-06T17:21:41.747567,
정보디스플레이 연구실,Information Display Lab,박우상,"TFT-LCD, 3D Display, 홀로그램 등 여러 디스플레이 기술의 광학적 해석을 통한 최적설계 시뮬레이터 개발단위 화소내 각종 전극간 회로요소, 화소의 정전용량, 전극간 기생 용량 및 저항성분 등의 정량적 평가가 가능한 알고리즘 개발광소자 분야 TFT-LCD의 주요 부품인 Backlight, 광학보상 필름 등의 최적화 설계를 통한 패널의 성능 향상",하이테크센터 1003호,,,http://newdept.inha.ac.kr/topLogin/view.do,21,1,0,0,SUCCESS,0,2025-11-06T17:21:42.900738,
컴퓨터비전 및 영상처리 연구실,Computer Vision and Image Processing Lab,송병철,"Computer vision, Image processing, Artificial intelligence",하이테크센터 713호,,,http://cvip.inha.ac.kr,22,2,2,1,SUCCESS,0,2025-11-06T17:21:45.931974,
아날로그 연구실,Analog Circuit Design Lab,윤광섭,"CMOS Data Converter Design, PMIC Design",하이테크센터 810호,,,http://cafe.naver.com/aicdlab,23,4,6,3,SUCCESS,0,2025-11-06T17:21:54.547013,
디지털신호처리 연구실,Digital Signal Processing Lab,이보원,"Statistical Signal Processing, Multimodal Sensor Fusion for HCI, Audio and Speech Signal Processing, Automatic Speech Recognition, Spoken Language Understanding",하이테크센터 916호,,,http://dsp.inha.ac.kr,24,1,0,0,SUCCESS,0,2025-11-06T17:21:55.624056,
바이오IT시스템 연구실,Bio IT System Lab,이상민,"Embedded System, BMI System, Robot Control",하이테크센터 716호,,,http://biselab.inha.ac.kr,25,1,0,0,SUCCESS,0,2025-11-06T17:22:16.657918,
